Player in-game name (IGN),CM Group,A or B Finals?,Finals race result,Own Team - Uma 1,Own team - Uma 1 - Running Style,Own team - Uma 1 - Role,Own Team - Uma 2,Own team - Uma 2 - Running Style,Own team - Uma 2 - Role,Own Team - Uma 3,Own team - Uma 3 - Running Style,Own team - Uma 3 - Role,,,,,,,,,,,,,,Uma 1,Uma2,Uma3
JohnnyZB,Graded (No Limit),B Finals,1st,Special Week,Pace Chaser,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,,,,,,,,,,,,,,Special Week - Pace Chaser - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace
Adam,Graded (No Limit),A Finals,1st,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace
Sana,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,URA Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - URA Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker
just me 503,Graded (No Limit),B Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Riri,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,El Condor Pasa (Fantasy),Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,El Condor Pasa (Fantasy) - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Zero,Graded (No Limit),B Finals,1st,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Special Week,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace,Special Week - Late Surger - Unity Cup Scenario Ace
Dran Kito,Graded (No Limit),A Finals,2nd,Tokai Teio (Anime),Pace Chaser,Unity Cup Scenario Ace,Symboli Rudolf,Late Surger,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Tokai Teio (Anime) - Pace Chaser - Unity Cup Scenario Ace,Symboli Rudolf - Late Surger - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace
Doritos,Graded (No Limit),A Finals,3rd,Fuji Kiseki,Pace Chaser,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Fuji Kiseki - Pace Chaser - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Orbit,Graded (No Limit),A Finals,3rd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
ジョシュア,Graded (No Limit),A Finals,1st,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
VongolaX,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
MM,Graded (No Limit),A Finals,1st,TM Opera O,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,TM Opera O - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
Hakun,Graded (No Limit),A Finals,1st,Curren Chan,Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Curren Chan - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace
ScPpY,Graded (No Limit),A Finals,3rd,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,Curren Chan,Pace Chaser,Unity Cup Scenario Ace,Mayano Top Gun,Late Surger,Oshi backup/kinda debuffer,,,,,,,,,,,,,,Rice Shower - Pace Chaser - Unity Cup Scenario Ace,Curren Chan - Pace Chaser - Unity Cup Scenario Ace,Mayano Top Gun - Late Surger - Oshi backup/kinda debuffer
Cyber,Graded (No Limit),A Finals,1st,Daiwa Scarlet,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Daiwa Scarlet - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
Chie,Graded (No Limit),A Finals,2nd,Gold City,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Gold City - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Nerphias,Graded (No Limit),B Finals,1st,Agnes Digital,Late Surger,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,,,,,,,,,,,,,,Agnes Digital - Late Surger - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker
Onoodle,Graded (No Limit),A Finals,2nd,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
cam,Graded (No Limit),A Finals,1st,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Swaguar,Graded (No Limit),A Finals,1st,Vodka,Late Surger,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Mihono Bourbon,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Mihono Bourbon - Front Runner - Unity Cup Scenario Ace
Breadpen,Graded (No Limit),A Finals,1st,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
Kornik,Graded (No Limit),A Finals,1st,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,El Condor Pasa,Pace Chaser,URA Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace,El Condor Pasa - Pace Chaser - URA Scenario Ace
Pera1atan,Graded (No Limit),A Finals,2nd,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace
Mythra,Graded (No Limit),A Finals,1st,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Front Runner - Unity Cup Scenario Ace
Daft667,Graded (No Limit),A Finals,2nd,Hishi Akebono,Pace Chaser,URA Scenario Ace,Taiki Shuttle,Pace Chaser,URA Scenario Ace,Narita Taishin,End Closer,URA Scenario Ace,,,,,,,,,,,,,,Hishi Akebono - Pace Chaser - URA Scenario Ace,Taiki Shuttle - Pace Chaser - URA Scenario Ace,Narita Taishin - End Closer - URA Scenario Ace
Sakai Rihito,Graded (No Limit),A Finals,1st,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,TM Opera O,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace,TM Opera O - Pace Chaser - Unity Cup Scenario Ace
MrDrMax,Graded (No Limit),A Finals,3rd,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Daiwa Scarlet,Front Runner,Unity Cup Scenario Ace,Mayano Top Gun,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Daiwa Scarlet - Front Runner - Unity Cup Scenario Ace,Mayano Top Gun - Pace Chaser - Unity Cup Scenario Ace
Rhisy,Graded (No Limit),A Finals,1st,TM Opera O,Pace Chaser,Unity Cup Scenario Ace,Hishi Akebono,Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,TM Opera O - Pace Chaser - Unity Cup Scenario Ace,Hishi Akebono - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace
Legyr,Graded (No Limit),A Finals,1st,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Drey,Graded (No Limit),A Finals,1st,Air Groove (Wedding),Late Surger,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Air Groove (Wedding) - Late Surger - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace,Rice Shower - Pace Chaser - Unity Cup Scenario Ace
KuroMC,Graded (No Limit),A Finals,1st,Tokai Teio,Pace Chaser,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Sacrificial front that also works as a Blocker,Grass Wonder,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Tokai Teio - Pace Chaser - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Sacrificial front that also works as a Blocker,Grass Wonder - Late Surger - Unity Cup Scenario Ace
HoennKyouma,Graded (No Limit),A Finals,2nd,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Narita Taishin,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Narita Taishin - Late Surger - Unity Cup Scenario Ace
Mewing III,Graded (No Limit),A Finals,1st,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Agnes Tachyon,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Agnes Tachyon - Pace Chaser - Unity Cup Scenario Ace
TacticalNoob,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Seiun Sky,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Seiun Sky - Front Runner - Unity Cup Scenario Ace
Kurein,Graded (No Limit),A Finals,1st,Silence Suzuka,Front Runner,Unity Cup Scenario Ace,Rice Shower,Front Runner,Unity Cup Scenario Ace,Vodka,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Front Runner - Unity Cup Scenario Ace,Rice Shower - Front Runner - Unity Cup Scenario Ace,Vodka - Front Runner - Unity Cup Scenario Ace
Mellow,Graded (No Limit),A Finals,2nd,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Stolas,Graded (No Limit),B Finals,3rd,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Nice Nature,Late Surger,Debuffer,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Nice Nature - Late Surger - Debuffer
SonSinSon,Graded (No Limit),A Finals,1st,Agnes Digital,Pace Chaser,Unity Cup Scenario Ace,King Halo,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Agnes Digital - Pace Chaser - Unity Cup Scenario Ace,King Halo - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
Zacky,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace
Kurose,Graded (No Limit),A Finals,2nd,Silence Suzuka,Runaway/Oonige,Front Blocker,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,El Condor Pasa (Fantasy),Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Front Blocker,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,El Condor Pasa (Fantasy) - Late Surger - Unity Cup Scenario Ace
dracoraz,Graded (No Limit),A Finals,1st,Agnes Tachyon,Pace Chaser,Unity Cup Scenario Ace,Agnes Digital,Late Surger,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,,,,,,,,,,,,,,Agnes Tachyon - Pace Chaser - Unity Cup Scenario Ace,Agnes Digital - Late Surger - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker
NovaVir,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Mayano Top Gun,Front Runner,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Mayano Top Gun - Front Runner - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
quang,Graded (No Limit),A Finals,1st,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
(IGN): GJG98,Graded (No Limit),A Finals,2nd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Hishi Akebono,Pace Chaser,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Hishi Akebono - Pace Chaser - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker
Gneisenau,Graded (No Limit),A Finals,1st,Biwa Hayahide,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Biwa Hayahide - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
Miachama,Graded (No Limit),B Finals,1st,Vodka,Late Surger,Unity Cup Scenario Ace,Daiwa Scarlet,Pace Chaser,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Daiwa Scarlet - Pace Chaser - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker
Dinodan,Graded (No Limit),A Finals,1st,Mejiro McQueen,Front Runner,Unity Cup Scenario Ace,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Mejiro McQueen - Front Runner - Unity Cup Scenario Ace,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace
Exell5000,Graded (No Limit),A Finals,1st,Air Groove (Wedding),Pace Chaser,Unity Cup Scenario Ace,Narita Brian,Pace Chaser,Unity Cup Scenario Ace,Special Week,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Air Groove (Wedding) - Pace Chaser - Unity Cup Scenario Ace,Narita Brian - Pace Chaser - Unity Cup Scenario Ace,Special Week - Pace Chaser - Unity Cup Scenario Ace
Sly,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Khali,Graded (No Limit),B Finals,2nd,Silence Suzuka,Runaway/Oonige,Front Blocker,Vodka,Late Surger,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Front Blocker,Vodka - Late Surger - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace
Aiman,Graded (No Limit),A Finals,1st,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Curren Chan,Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Curren Chan - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace
Zeyuo,Graded (No Limit),A Finals,2nd,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Rice Shower - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
WizenWagon,Graded (No Limit),A Finals,2nd,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Solyob,Graded (No Limit),B Finals,2nd,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace
_Axl,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace
Dumpy,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Air Groove (Wedding),Pace Chaser,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Air Groove (Wedding) - Pace Chaser - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker
Moisty,Graded (No Limit),A Finals,2nd,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Mayano Top Gun,Front Runner,Front Blocker,,,,,,,,,,,,,,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Mayano Top Gun - Front Runner - Front Blocker
kvadrat,Graded (No Limit),A Finals,1st,Agnes Digital,Late Surger,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Agnes Digital - Late Surger - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace
Sir Richard,Graded (No Limit),A Finals,3rd,Meisho Doto,Late Surger,Unity Cup Scenario Ace,Narita Brian,Late Surger,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,,,,,,,,,,,,,,Meisho Doto - Late Surger - Unity Cup Scenario Ace,Narita Brian - Late Surger - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace
Talys,Graded (No Limit),A Finals,1st,Smart Falcon,Front Runner,Front Blocker,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,,,,,,,,,,,,,,Smart Falcon - Front Runner - Front Blocker,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace
Raptor,Graded (No Limit),A Finals,2nd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace
benguin,Graded (No Limit),A Finals,3rd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,TM Opera O,Pace Chaser,Unity Cup Scenario Ace,Mayano Top Gun,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,TM Opera O - Pace Chaser - Unity Cup Scenario Ace,Mayano Top Gun - Pace Chaser - Unity Cup Scenario Ace
Raznakz,Graded (No Limit),A Finals,2nd,Agnes Digital,Late Surger,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Agnes Digital - Late Surger - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
AKhant ,Graded (No Limit),A Finals,3rd,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
Verstappen,Graded (No Limit),A Finals,1st,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Kiyu,Graded (No Limit),A Finals,1st,Silence Suzuka,Runaway/Oonige,Front Blocker,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Front Blocker,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace
